species,locality,lat,long,depth,day,month,year
Totoaba macdonaldi,Cerca de Isla Consag,31.110833,-114.466667,27.43,28,4,2010
Totoaba macdonaldi,El Choyudo,30.028056,-114.400556,17.2,1,10,2011
Totoaba macdonaldi,Cerca de Isla Consag,31.110833,-114.466667,27.43,28,4,2010
Totoaba macdonaldi,Cerca de Isla Consag,31.110833,-114.466667,27.43,28,4,2010
Totoaba macdonaldi,La Boyita,31.108333,-114.459722,23.55,15,11,2010
Totoaba macdonaldi,La Piedrita de Enmedio,30.028056,-114.400556,22.45,1,10,2011
Totoaba macdonaldi,Cerca de Isla Consag,31.205556,-114.340833,27.885,26,4,2010
Totoaba macdonaldi,Cerca de Isla Consag,31.105556,-114.459722,31.95,10,11,2010
Totoaba macdonaldi,Desemboque de los Seris,29.575,-112.472222,5.5,28,11,2011
Totoaba macdonaldi,Cerca de Isla Consag,31.110833,-114.466667,27.43,28,4,2010
Totoaba macdonaldi,Cerca de Isla Consag,31.110833,-114.466667,27.43,28,4,2010
Totoaba macdonaldi,La Piedrita de Enmedio,30.028056,-114.400556,22.45,1,10,2011
Totoaba macdonaldi,Cerca de Isla Consag,31.105556,-114.459722,31.95,10,11,2010
Totoaba macdonaldi,El Choyudo,30.023056,-114.4675,14.15,28,11,2011
Totoaba macdonaldi,Frente a la Zacatoza,31.568333,-114.704167,0.75,22,2,2011
Totoaba macdonaldi,La Boyita,31.108333,-114.459722,23.55,15,11,2010
Totoaba macdonaldi,La Boyita,31.108333,-114.459722,23.55,15,11,2010
Totoaba macdonaldi,La Piedrita de Enmedio,30.028056,-114.400556,22.45,1,10,2011
Totoaba macdonaldi,Cerca de Isla Consag,31.110833,-114.466667,27.43,28,4,2010
Totoaba macdonaldi,El Choyudo,30.023056,-114.4675,15.6,15,11,2010
Totoaba macdonaldi,El Choyudo,30.023056,-114.4675,15.6,15,11,2010
Totoaba macdonaldi,La Piedrita de Enmedio,30.028056,-114.400556,22.45,1,10,2011
Totoaba macdonaldi,Bahía de Lobos,30.238333,-112.895,19,13,12,2011
Totoaba macdonaldi,Bahía de Lobos,30.238333,-112.895,19,12,12,2011
Totoaba macdonaldi,Zona Núcleo,31.573056,-114.713333,0,2,5,2010
Totoaba macdonaldi,40 km al sur de San Felipe,30.6525,-114.688333,0,28,3,2011
Totoaba macdonaldi,La Piedrita de Enmedio,30.028056,-114.400556,22.45,1,10,2011
Totoaba macdonaldi,Los Conchales,31.536111,-114.793056,0,22,2,2011
Totoaba macdonaldi,40 km al sur de San Felipe,30.6525,-114.688333,0,28,3,2011
Totoaba macdonaldi,Bahía de Lobos,30.238333,-112.895,19,12,12,2011
Totoaba macdonaldi,La Piedrita de Enmedio,30.028056,-114.400556,22.45,1,10,2011
Totoaba macdonaldi,40 km al sur de San Felipe,30.6525,-114.688333,0,28,3,2011
Totoaba macdonaldi,La Boyita,30.033889,-114.429444,24.6,15,11,2010
Totoaba macdonaldi,Bahía de Lobos,30.238333,-112.895,19,12,12,2011
Totoaba macdonaldi,Cerca de Isla Consag,31.110833,-114.466667,27.43,28,4,2010
Totoaba macdonaldi,La Piedrita de Enmedio,30.028056,-114.400556,22.45,1,10,2011
Totoaba macdonaldi,Frente a la Zacatoza,31.583889,-114.768333,0.75,22,2,2011
Totoaba macdonaldi,NO DISPONIBLE,31.569167,-114.786389,0,23,2,2011
Totoaba macdonaldi,La Piedrita de Enmedio,30.028056,-114.400556,22.45,1,10,2011
Totoaba macdonaldi,La Piedrita de Enmedio,30.028056,-114.400556,22.45,1,10,2011
Totoaba macdonaldi,Cerca de Isla Consag,31.099722,-114.46,30.175,26,4,2010
Totoaba macdonaldi,Cerca de Isla Consag,31.110833,-114.466667,27.43,28,4,2010
Totoaba macdonaldi,La Boyita,30.033889,-114.429444,24.6,15,11,2010
Totoaba macdonaldi,Cerca de Isla Consag,31.099722,-114.46,30.175,26,4,2010
Totoaba macdonaldi,Cerca de Isla Consag,31.105556,-114.459722,31.95,10,11,2010
Totoaba macdonaldi,40 km al sur de San Felipe,30.6525,-114.688333,0,28,3,2011
Totoaba macdonaldi,Desemboque de los Seris,29.575833,-112.473333,5.5,27,11,2011
Totoaba macdonaldi,La Boyita,31.108333,-114.459722,23.55,15,11,2010
Totoaba macdonaldi,Cerca de Isla Consag,31.099722,-114.46,30.175,26,4,2010
Totoaba macdonaldi,La Boyita,30.033889,-114.429444,24.6,15,11,2010
Totoaba macdonaldi,El Choyudo,30.022778,-114.467778,13.25,15,11,2010
Totoaba macdonaldi,Cerca de Isla Consag,31.111389,-114.466944,23.65,30,3,2011
Totoaba macdonaldi,El Choyudo,30.023056,-114.4675,14.15,28,11,2011
Totoaba macdonaldi,Zona Núcleo,31.599167,-114.78,0,2,5,2010
Totoaba macdonaldi,Cerca de Isla Consag,31.110833,-114.466667,27.43,28,4,2010
Totoaba macdonaldi,La Zacatoza muy cerca de Los Conchales,31.565,-114.779444,0,24,3,2011
Totoaba macdonaldi,Frente Isla Consag,31.105556,-114.459722,0,10,11,2010
Totoaba macdonaldi,La Boyita,30.033889,-114.429444,24.6,15,11,2010
Totoaba macdonaldi,NO DISPONIBLE,31.569167,-114.786389,0,23,2,2011
Totoaba macdonaldi,Bahía de Lobos,30.238333,-112.895,19,12,12,2011
Totoaba macdonaldi,El Choyudo,30.023056,-114.4675,15.6,15,11,2010
Totoaba macdonaldi,Bahía de Lobos,30.238333,-112.895,19,13,12,2011
Totoaba macdonaldi,La Piedrita de Enmedio,30.028056,-114.400556,22.45,1,10,2011
Totoaba macdonaldi,El Choyudo,30.023056,-114.4675,14.15,28,11,2011
Totoaba macdonaldi,Bahía de Lobos,30.238333,-112.895,19,12,12,2011
Totoaba macdonaldi,La Boyita,31.108333,-114.459722,23.55,15,11,2010
Totoaba macdonaldi,Frente a la Zacatoza,31.568333,-114.704167,0.75,22,2,2011
Totoaba macdonaldi,Cerca de Isla Consag,31.110833,-114.466667,27.43,28,4,2010
Totoaba macdonaldi,NO DISPONIBLE,31.569167,-114.786389,0,23,2,2011
Totoaba macdonaldi,Los Conchales,31.486111,-114.824167,1,3,5,2010
Totoaba macdonaldi,La Piedrita de Enmedio,30.028056,-114.400556,22.45,1,10,2011
Totoaba macdonaldi,La Zacatoza muy cerca de Los Conchales,31.565,-114.779444,0,24,3,2011
Totoaba macdonaldi,Bahía de Lobos,30.238333,-112.895,19,12,12,2011
Totoaba macdonaldi,La Piedrita de Enmedio,30.028056,-114.400556,22.45,1,10,2011
Totoaba macdonaldi,Frente a la Zacatoza,31.568333,-114.704167,0.75,22,2,2011
Totoaba macdonaldi,Bahía de Lobos,30.238333,-112.895,19,12,12,2011
Totoaba macdonaldi,El Choyudo,30.023056,-114.4675,14.15,28,11,2011
Totoaba macdonaldi,El Choyudo,30.023056,-114.4675,15.6,15,11,2010
Totoaba macdonaldi,Frente Isla Consag,31.105556,-114.459722,0,10,11,2010
Totoaba macdonaldi,Bahía de Lobos,30.238333,-112.895,19,12,12,2011
Totoaba macdonaldi,Bahía de Lobos,30.238333,-112.895,19,12,12,2011
Totoaba macdonaldi,La Piedrita de Enmedio,30.028056,-114.400556,22.45,1,10,2011
Totoaba macdonaldi,El Choyudo,30.022778,-114.467778,13.25,15,11,2010
Totoaba macdonaldi,Desemboque de los Seris,29.575,-112.472222,5.5,28,11,2011
Totoaba macdonaldi,40 km al sur de San Felipe,30.6525,-114.688333,0,28,3,2011
Totoaba macdonaldi,Frente a la Zacatoza,31.568333,-114.704167,0.75,22,2,2011
Totoaba macdonaldi,40 km al sur de San Felipe,30.6525,-114.688333,0,28,3,2011
Totoaba macdonaldi,El Choyudo,30.023056,-114.4675,14.15,28,11,2011
Totoaba macdonaldi,La Piedrita de Enmedio,30.028056,-114.400556,22.45,1,10,2011
Totoaba macdonaldi,La Zacatoza muy cerca de Los Conchales,31.565,-114.779444,0,24,3,2011
Totoaba macdonaldi,La Piedrita de Enmedio,30.028611,-114.400278,19.7,15,11,2010
Totoaba macdonaldi,Frente Isla Consag,31.105556,-114.459722,0,10,11,2010
Totoaba macdonaldi,40 km al sur de San Felipe,30.6525,-114.688333,0,28,3,2011
Totoaba macdonaldi,Cerca de Isla Consag,31.110833,-114.466667,27.43,28,4,2010
Totoaba macdonaldi,Cerca de Isla Consag,31.110833,-114.466667,27.43,28,4,2010
Totoaba macdonaldi,La Piedrita de Enmedio,30.028056,-114.400556,22.45,1,10,2011
Totoaba macdonaldi,Cerca de Isla Consag,31.110833,-114.466667,27.43,28,4,2010
Totoaba macdonaldi,Frente Isla Consag,31.105556,-114.459722,0,10,11,2010
Totoaba macdonaldi,El Choyudo,30.023056,-114.4675,14.15,28,11,2011
Totoaba macdonaldi,El Choyudo,30.023056,-114.4675,14.15,28,11,2011
Totoaba macdonaldi,El Choyudo,30.023056,-114.4675,14.15,28,11,2011
Totoaba macdonaldi,La Piedrita de Enmedio,30.028056,-114.400556,22.45,1,10,2011
Totoaba macdonaldi,Cerca de Isla Consag,31.111389,-114.466944,23.65,30,3,2011
Totoaba macdonaldi,Cerca de Isla Consag,31.105556,-114.459722,31.95,10,11,2010
Totoaba macdonaldi,El Choyudo,30.022778,-114.467778,13.25,15,11,2010
Totoaba macdonaldi,El Choyudo,30.023056,-114.4675,14.15,28,11,2011
Totoaba macdonaldi,40 km al sur de San Felipe,30.6525,-114.688333,0,28,3,2011
Totoaba macdonaldi,La Boyita,31.108333,-114.459722,23.55,15,11,2010
Totoaba macdonaldi,Cerca de Isla Consag,31.099722,-114.46,30.175,26,4,2010
Totoaba macdonaldi,Cerca de Isla Consag,31.110833,-114.466667,27.43,28,4,2010
Totoaba macdonaldi,Los Conchales,31.536111,-114.793056,0,22,2,2011
Totoaba macdonaldi,La Boyita,31.108333,-114.459722,23.55,15,11,2010
Totoaba macdonaldi,NO DISPONIBLE,31.569167,-114.786389,0,23,2,2011
Totoaba macdonaldi,La Piedrita de Enmedio,30.028056,-114.400556,22.45,1,10,2011
Totoaba macdonaldi,El Choyudo,30.023056,-114.4675,15.6,15,11,2010
Totoaba macdonaldi,El Choyudo,30.022778,-114.467778,13.25,15,11,2010
Totoaba macdonaldi,Cerca de Isla Consag,31.099722,-114.46,30.175,26,4,2010
Totoaba macdonaldi,Cerca de Isla Consag,31.110833,-114.466667,27.43,28,4,2010
Totoaba macdonaldi,La Piedrita de Enmedio,30.028056,-114.400556,22.45,1,10,2011
Totoaba macdonaldi,Frente al Moreno,31.546111,-114.794167,0,22,2,2011
Totoaba macdonaldi,Frente al Moreno,31.546111,-114.794167,0,22,2,2011
Totoaba macdonaldi,El Choyudo,30.023056,-114.4675,15.6,15,11,2010
Totoaba macdonaldi,La Piedrita de Enmedio,30.028056,-114.400556,22.45,1,10,2011
Totoaba macdonaldi,Las Grullas,25.817778,-109.436944,0,7,12,2011
Totoaba macdonaldi,Bahía de Lobos,30.238333,-112.895,19,12,12,2011
Totoaba macdonaldi,Cerca de Isla Consag,31.099722,-114.46,30.175,26,4,2010
Totoaba macdonaldi,Bahía de Lobos,30.238333,-112.895,19,12,12,2011
Totoaba macdonaldi,NO DISPONIBLE,31.539444,-114.793611,0,23,2,2011
Totoaba macdonaldi,Cerca de Isla Consag,31.099722,-114.46,30.175,26,4,2010
Totoaba macdonaldi,40 km al sur de San Felipe,30.6525,-114.688333,0,25,3,2011
Totoaba macdonaldi,El Choyudo,30.023056,-114.4675,14.15,28,11,2011
Totoaba macdonaldi,Cerca de Isla Consag,31.099722,-114.46,30.175,26,4,2010
Totoaba macdonaldi,Cerca de Isla Consag,31.105556,-114.459722,31.95,10,11,2010
Totoaba macdonaldi,Cerca de Isla Consag,31.110833,-114.466667,27.43,28,4,2010
Totoaba macdonaldi,La Piedrita de Enmedio,30.028056,-114.400556,22.45,1,10,2011
Totoaba macdonaldi,Cerca de Isla Consag,31.110833,-114.466667,27.43,28,4,2010
Totoaba macdonaldi,Bahía de Lobos,30.238333,-112.895,19,12,12,2011
Totoaba macdonaldi,Frente a la Zacatoza,31.568333,-114.704167,0.75,22,2,2011
Totoaba macdonaldi,Cerca de Isla Consag,31.110833,-114.466667,25.755,28,4,2010
Totoaba macdonaldi,Cerca de Isla Consag,31.110833,-114.466667,27.43,28,4,2010
Totoaba macdonaldi,La Piedrita de Enmedio,30.028056,-114.400556,22.45,1,10,2011
Totoaba macdonaldi,40 km al sur de San Felipe,30.6525,-114.688333,0,28,3,2011
Totoaba macdonaldi,La Boyita,30.033889,-114.429444,24.6,15,11,2010
Totoaba macdonaldi,La Zacatoza muy cerca de Los Conchales,31.565,-114.779444,0,24,3,2011
Totoaba macdonaldi,El Choyudo,30.023056,-114.4675,14.15,28,11,2011
Totoaba macdonaldi,NO DISPONIBLE,31.569167,-114.786389,0,23,2,2011
Totoaba macdonaldi,La Boyita,30.033889,-114.429444,24.6,15,11,2010
Totoaba macdonaldi,Frente a la Zacatoza,31.568333,-114.704167,0.75,22,2,2011
Totoaba macdonaldi,El Choyudo,30.023056,-114.4675,14.15,28,11,2011
Totoaba macdonaldi,Bahía de Lobos,30.238333,-112.895,19,12,12,2011
Totoaba macdonaldi,NO DISPONIBLE,31.569167,-114.786389,0,23,2,2011
Totoaba macdonaldi,La Piedrita de Enmedio,30.028056,-114.400556,22.45,1,10,2011
Totoaba macdonaldi,Frente Isla Consag,31.105556,-114.459722,0,10,11,2010
Totoaba macdonaldi,Cerca de Isla Consag,31.110833,-114.466667,27.43,28,4,2010
Totoaba macdonaldi,Zona Núcleo,31.573056,-114.713333,0,2,5,2010
Totoaba macdonaldi,Los Conchales,31.536111,-114.793056,0,22,2,2011
Totoaba macdonaldi,NO DISPONIBLE,31.569167,-114.786389,0,23,2,2011
Totoaba macdonaldi,Bahía de Lobos,30.238333,-112.895,19,12,12,2011
Totoaba macdonaldi,La Piedrita de Enmedio,30.028056,-114.400556,22.45,1,10,2011
Totoaba macdonaldi,Cerca de Isla Consag,31.105556,-114.459722,31.95,10,11,2010
Totoaba macdonaldi,Frente Isla Consag,31.105556,-114.459722,0,10,11,2010
Totoaba macdonaldi,Desemboque de los Seris,29.575,-112.472222,5.5,29,11,2011
Totoaba macdonaldi,Cerca de Isla Consag,31.099722,-114.46,30.175,26,4,2010
Totoaba macdonaldi,Bahía de Lobos,30.238333,-112.895,19,12,12,2011
Totoaba macdonaldi,Frente Isla Consag,31.105556,-114.459722,0,10,11,2010
Totoaba macdonaldi,40 km al sur de San Felipe,30.6525,-114.688333,0,28,3,2011
Totoaba macdonaldi,Cerca de Isla Consag,31.099722,-114.46,30.175,26,4,2010
Totoaba macdonaldi,El Choyudo,30.022778,-114.467778,13.25,15,11,2010
Totoaba macdonaldi,Zona Núcleo,31.580833,-114.720278,0,2,5,2010
Totoaba macdonaldi,NO DISPONIBLE,31.569167,-114.786389,0,23,2,2011
Totoaba macdonaldi,Cerca de Isla Consag,31.089167,-114.5325,28.04,26,4,2010
Totoaba macdonaldi,Frente al Moreno,31.546111,-114.794167,0,22,2,2011
Totoaba macdonaldi,40 km al sur de San Felipe,30.6525,-114.688333,0,28,3,2011
Totoaba macdonaldi,La Piedrita de Enmedio,30.028056,-114.400556,22.45,1,10,2011
Totoaba macdonaldi,Cerca de Isla Consag,31.105556,-114.459722,31.95,10,11,2010
Totoaba macdonaldi,NO DISPONIBLE,31.569167,-114.786389,0,23,2,2011
Totoaba macdonaldi,Bahía de Lobos,30.238333,-112.895,19,12,12,2011
Totoaba macdonaldi,Bahía de Lobos,30.238333,-112.895,19,12,12,2011
Totoaba macdonaldi,La Zacatoza muy cerca de Los Conchales,31.565,-114.779444,0,24,3,2011
Totoaba macdonaldi,Cerca de Isla Consag,31.105556,-114.459722,31.95,10,11,2010
Totoaba macdonaldi,El Choyudo,30.022778,-114.467778,13.25,15,11,2010
Totoaba macdonaldi,Bahía de Lobos,30.238333,-112.895,19,12,12,2011
Totoaba macdonaldi,Desemboque de los Seris,29.575,-112.472222,5.5,28,11,2011
Totoaba macdonaldi,La Boyita,31.108333,-114.459722,23.55,15,11,2010
Totoaba macdonaldi,La Boyita,31.108333,-114.459722,23.55,15,11,2010
Totoaba macdonaldi,La Boyita,30.033889,-114.429444,24.6,15,11,2010
Totoaba macdonaldi,El Choyudo,30.023056,-114.4675,14.15,28,11,2011
Totoaba macdonaldi,Cerca de Isla Consag,31.105556,-114.459722,31.95,10,11,2010
Totoaba macdonaldi,Cerca de Isla Consag,31.113333,-114.466944,27.885,26,4,2010
Totoaba macdonaldi,Cerca de Isla Consag,31.105556,-114.459722,31.95,10,11,2010
Totoaba macdonaldi,Bahía de Lobos,30.238333,-112.895,19,12,12,2011
Totoaba macdonaldi,40 km al sur de San Felipe,30.6525,-114.688333,0,28,3,2011
Totoaba macdonaldi,NO DISPONIBLE,31.569167,-114.786389,0,23,2,2011
Totoaba macdonaldi,La Boyita,30.033889,-114.429444,24.6,15,11,2010
Totoaba macdonaldi,La Piedrita de Enmedio,30.028056,-114.400556,22.45,1,10,2011
Totoaba macdonaldi,La Piedrita de Enmedio,30.028056,-114.400556,22.45,1,10,2011
Totoaba macdonaldi,Cerca de Isla Consag,31.105556,-114.459722,31.95,10,11,2010
Totoaba macdonaldi,El Choyudo,30.023056,-114.4675,14.15,28,11,2011
Totoaba macdonaldi,Cerca de Isla Consag,31.113333,-114.466944,27.885,26,4,2010
Totoaba macdonaldi,Cerca de Isla Consag,31.105556,-114.459722,31.95,10,11,2010
Totoaba macdonaldi,Cerca de Isla Consag,31.105556,-114.459722,31.95,10,11,2010
Totoaba macdonaldi,Cerca de Isla Consag,31.205556,-114.340833,27.885,26,4,2010
Totoaba macdonaldi,Cerca de Isla Consag,31.099722,-114.46,30.175,26,4,2010
Totoaba macdonaldi,El Choyudo,30.022778,-114.467778,13.25,15,11,2010
Totoaba macdonaldi,La Boyita,30.033889,-114.429444,24.6,15,11,2010
Totoaba macdonaldi,Frente a la Zacatoza,31.568333,-114.704167,0.75,22,2,2011
Totoaba macdonaldi,La Piedrita de Enmedio,30.028056,-114.400556,22.45,1,10,2011
Totoaba macdonaldi,La Boyita,31.108333,-114.459722,23.55,15,11,2010
Totoaba macdonaldi,Frente a la Zacatoza,31.583889,-114.768333,0.75,22,2,2011
Totoaba macdonaldi,Frente a la Zacatoza,31.568333,-114.704167,0.75,22,2,2011
Totoaba macdonaldi,Frente a la Zacatoza,31.568333,-114.704167,0.75,22,2,2011
Totoaba macdonaldi,Desemboque de los Seris,29.575,-112.472222,5.5,28,11,2011
Totoaba macdonaldi,La Piedrita de Enmedio,30.028056,-114.400556,22.45,1,10,2011
Totoaba macdonaldi,La Piedrita de Enmedio,30.028056,-114.400556,22.45,1,10,2011
Totoaba macdonaldi,40 km al sur de San Felipe,30.6525,-114.688333,0,28,3,2011
Totoaba macdonaldi,NO DISPONIBLE,31.569167,-114.786389,0,23,2,2011
Totoaba macdonaldi,Entre La Quila y El Machorro,31.065833,-114.806667,6.4,9,11,2010
Totoaba macdonaldi,Cerca de Isla Consag,31.105556,-114.459722,31.95,10,11,2010
Totoaba macdonaldi,La Piedrita de Enmedio,30.028056,-114.400556,22.45,1,10,2011
Totoaba macdonaldi,Cerca de Isla Consag,31.099722,-114.46,30.175,26,4,2010
Totoaba macdonaldi,Cerca de Isla Consag,31.099722,-114.46,30.175,26,4,2010
Totoaba macdonaldi,Los Conchales,31.536111,-114.793056,0,22,2,2011
Totoaba macdonaldi,Cerca de Isla Consag,31.205556,-114.340833,27.885,26,4,2010
Totoaba macdonaldi,Frente a la Zacatoza,31.568333,-114.704167,0.75,22,2,2011
Totoaba macdonaldi,Frente a la Zacatoza,31.568333,-114.704167,0.75,22,2,2011
Totoaba macdonaldi,El Choyudo,30.023056,-114.4675,15.6,15,11,2010
Totoaba macdonaldi,"La Boyita, al N de Isla Salvatierra",30.033333,-114.420556,27.45,24,4,2010
Totoaba macdonaldi,"La Boyita, al N de Isla Salvatierra",30.033333,-114.420556,27.45,24,4,2010
Totoaba macdonaldi,Frente a la Zacatoza,31.568333,-114.704167,0.75,22,2,2011
